https://www.4icu.org/in/indian-universities.htm
List of Indian Universities
Rank	University	Location
806	KSGH Music and Performing Arts University	Mysore
766	Kumar Bhaskar Varma Sanskrit and Ancient Studies University	Nalbari
241	Kumaun University	Nainital
47	Kurukshetra University	Kurukshetra ...
733	Kushabhau Thakre Patrakarita Avam Jansanchar University	Raipur
262	Kuvempu University	Shimoga
455	Lakshmibai National Institute of Physical Education	Gwalior
832	Lakulish Yoga University	Ahmedabad
523	Lala Lajpat Rai University of Veterinary and Animal Sciences	Hisar
194	Lalit Narayan Mithila University	Darbhanga
582	Lingaya's University	Faridabad
847	LNCT University	Bhopal
8	Lovely Professional University	Phagwara
70	M.J.P. Rohilkhand University	Bareilly
393	M.S. Ramaiah University of Applied Sciences	Bangalore
307	Madan Mohan Malaviya University of Technology	Gorakhpur
732	Madhav University	Pindwara
138	Madurai Kamaraj University	Madurai
288	Magadh University	Bodh Gaya
802	Mahapurusha Srimanta Sankaradeva Viswavidyalaya	Nagaon
759	Maharaja Agrasen University	Baddi
841	Maharaja Bir Bikram University	Agartala
600	Maharaja Chhatrasal Bundelkhand University	Chhatarpur
186	Maharaja Ganga Singh University	Bikaner
295	Maharaja Krishnakumarsinhji Bhavnagar University	Bhavnagar
443	Maharaja Ranjit Singh Punjab Technical University	Bathinda
518	Maharaja Surajmal Brij University	Bharatpur
474	Maharana Pratap University of Agriculture and Technology	Udaipur
501	Maharashtra Animal and Fishery Sciences University	Nagpur
858	Maharashtra National Law University, Aurangabad	Aurangabad
830	Maharashtra National Law University, Mumbai	Mumbai
812	Maharashtra National Law University, Nagpur	Nagpur
197	Maharashtra University of Health Sciences	Nashik
825	Maharishi Arvind University, Jaipur	Mundiya Purohitan
95	Maharishi Dayanand University	Rohtak
620	Maharishi Mahesh Yogi Vedic Vishwavidyalaya	Katni ...
255	Maharishi Markandeshwar University, Mullana	Mullana ...
762	Maharishi Markandeshwar University, Sadopur	Ambala ...
756	Maharishi Markandeshwar University, Solan	Solan ...
757	Maharishi University	Lucknow
707	Maharishi University of Management and Technology	Bilaspur ...
375	Maharshi Dayanand Saraswati University	Ajmer
688	Maharshi Panini Sanskrit Vishwavidyalaya	Ujjain
327	Mahatma Gandhi Antarrashtriya Hindi Vishwavidyalaya	Wardha
450	Mahatma Gandhi Central University, Motihari	Motihari
696	Mahatma Gandhi Chitrakoot Gramoday Vishwavidyalaya	Chitrakoot
187	Mahatma Gandhi Kashi Vidyapeeth	Varanasi ...
49	Mahatma Gandhi University	Kottayam
737	Mahatma Gandhi University of Medical Sciences and Technology	Jaipur
410	Mahatma Gandhi University, Meghalaya	Khanapara
494	Mahatma Gandhi University, Nalgonda	Nalgonda
700	Mahatma Jyoti Rao Phoole University	Jaipur
372	Mahatma Phule Krishi Vidyapeeth	Rahuri
289	Makhanlal Chaturvedi Rashtriya Patrakarita Vishwavidyalaya	Bhopal ...
78	Malaviya National Institute of Technology, Jaipur	Jaipur
839	Malwanchal University	Indore
526	Manav Bharti University	Solan
Un	Manav Rachna International Institute of Research and Studies	Faridabad
Un	Manav Rachna University	Faridabad
635	Mandsaur University	Mandsaur
639	Mangalayatan University	Aligarh
174	Mangalore University	Mangalore
30	Manipal University	Manipal ...
681	Manipur Technical University	Imphal
320	Manipur University	Imphal
870	Manipur University of Culture	Imphal
199	Manonmaniam Sundaranar University	Tirunelveli
698	Martin Luther Christian University	Shillong
637	Marwadi University	Rajkot
649	MATS University	Aarang
99	Maulana Abul Kalam Azad University of Technology	Kolkata
158	Maulana Azad National Institute of Technology	Bhopal
229	Maulana Azad National Urdu University	Hyderabad
836	Maulana Azad University, Jodhpur	Jodhpur
581	Maulana Mazharul Haque Arabic and Persian University	Patna
272	Medi-Caps University	Indore
715	Meenakshi Academy of Higher Education and Research	Chennai
481	Mewar University	Chittorgarh
619	MGM Institute of Health Sciences	Navi Mumbai
347	MIT Art Design and Technology University	Pune
283	Mizoram University	Aizawl
314	Mody University of Science and Technology	Lakshmangarh
760	Mohammad Ali Jauhar University	Rampur
125	Mohanlal Sukhadia University	Udaipur
633	Monad University	Hapur
337	Mother Teresa Women's University	Kodaikanal
810	Motherhood University	Bhagwanpur
31	Motilal Nehru National Institute of Technology	Allahabad
557	MVN University	Palwal
397	Nagaland University	Kohima
310	Nalanda University	Rajgir
326	NALSAR University of Law	Hyderabad
683	Nanaji Deshmukh Veterinary Science University	Jabalpur
123	Narendra Dev University of Agriculture and Technology	Faizabad
58	Narsee Monjee Institute of Management and Higher Studies	Mumbai
323	National Dairy Research Institute	Karnal ...
59	National Institute of Design	Ahmedabad ...
84	National Institute of Fashion Technology	New Delhi ...
356	National Institute of Food Technology Entrepreneurship and Management	Sonipat
147	National Institute of Mental Health and Neuro Sciences	Bangalore
645	National Institute of Pharmaceutical Education and Research, Ahmedabad	Ahmedabad
772	National Institute of Pharmaceutical Education and Research, Guwahati	Guwahati
740	National Institute of Pharmaceutical Education and Research, Hajipur	Hajipur
628	National Institute of Pharmaceutical Education and Research, Hyderabad	Hyderabad
648	National Institute of Pharmaceutical Education and Research, Kolkata	Kolkata
413	National Institute of Pharmaceutical Education and Research, Mohali	Mohali
659	National Institute of Pharmaceutical Education and Research, Rae Bareli	Rae Bareli
220	National Institute of Technology, Agartala	Agartala
346	National Institute of Technology, Arunachal Pradesh	Yupia
57	National Institute of Technology, Calicut	Calicut
306	National Institute of Technology, Delhi	New Delhi
93	National Institute of Technology, Durgapur	Durgapur
275	National Institute of Technology, Goa	Farmagudi
164	National Institute of Technology, Hamirpur	Hamirpur
144	National Institute of Technology, Jamshedpur	Jamshedpur
52	National Institute of Technology, Karnataka	Mangalore
175	National Institute of Technology, Kurukshetra	Kurukshetra
374	National Institute of Technology, Manipur	Imphal
238	National Institute of Technology, Meghalaya	Shillong
398	National Institute of Technology, Mizoram	Aizawl
464	National Institute of Technology, Nagaland	Dimapur
142	National Institute of Technology, Patna	Patna
382	National Institute of Technology, Puducherry	Karaikal
114	National Institute of Technology, Raipur	Raipur
17	National Institute of Technology, Rourkela	Rourkela
440	National Institute of Technology, Sikkim	Ravangla
111	National Institute of Technology, Silchar	Silchar
370	National Institute of Technology, Srinagar	Srinagar
24	National Institute of Technology, Tiruchirappalli	Tiruchirappalli
401	National Institute of Technology, Uttarakhand	Srinagar
53	National Institute of Technology, Warangal	Warangal
506	National Law Institute University	Bhopal
135	National Law School of India University	Bangalore
230	National Law University	New Delhi
509	National Law University and Judicial Academy	Guwahati
247	National Law University, Jodhpur	Jodhpur
461	National Law University, Orissa	Cuttack
74	National University of Educational Planning and Administration	New Delhi
491	National University of Study and Research in Law	Ranchi
608	Nava Nalanda Mahavihara	Bargaon
569	Navrachana University	Vadodara
403	Navsari Agricultural University	Navsari ...
567	Nehru Gram Bharati Vishwavidyalaya	Allahabad
746	NIILM University	Kaithal
260	NIIT University	Neemrana
530	Nilamber-Pitamber University	Medininagar
394	NIMS University	Jaipur
130	Nirma University of Science and Technology	Ahmedabad
298	NITTE University	Mangalore
266	Nizam's Institute of Medical Sciences	Hyderabad
521	Noida International University	Greater Noida
714	North East Frontier Technical University	Aalo
102	North Eastern Hill University	Shillong ...
296	North Eastern Regional Institute of Science and Technology	Itanagar
131	North Maharashtra University	Jalgaon ...
586	North Orissa University	Baripada
244	O.P. Jindal Global University	Sonipat
720	O.P. Jindal University	Raigarh
502	OPJS University	Churu
672	Oriental University	Indore
344	Orissa University of Agriculture and Technology	Bhubaneswar
51	Osmania University	Hyderabad
833	P P Savani University	Kosamba
838	P.K. University	Village Thanara
849	Pacific Medical University	Udaipur
543	Pacific University, India	Udaipur
311	Padmashree Dr. D.Y. Patil Vidyapith	Navi Mumbai
431	Palamuru University	Mahabubnagar
233	Pandit Deendayal Petroleum University	Gandhinagar
389	Pandit Deendayal Upadhyaya Shekhawati University	Sikar
228	Pandit Ravishankar Shukla University	Raipur
28	Panjab University	Chandigarh
365	Parul University	Waghodia
245	Patna University	Patna
745	PDM University	Bahadurgarh
163	PDPM Indian Institute of Information Technology, Design and Manufacturing	Jabalpur
224	PEC University of Technology	Chandigarh
603	People's University	Bhopal
558	Periyar Maniammai University	Vallam ...
211	Periyar University	Salem
176	PES University	Bangalore
798	Plastindia International University	Vapi
46	Pondicherry University	Puducherry ...
596	Ponnaiyan Ramajayam Institute of Science and Technology	Thanjavur
503	Poornima University	Jaipur
